,berita,categories,berantai,topik,jenis,,,
18,"“https: // bantuankuota. club / telecom / tb. php?v=125GigaBytes

KEMENDIKBUD
Program kuota belajar pulsa 250rb dan kuota 125GB untuk dosen, guru, siswa, mahasiswa selama pembelajaran jarak jauh periode juni!
Batas akhir2021-7-23″
pulsa 250rb dan kuota 75gb gratis",salah,tidak berantai,ekonomi,[fabricated content],,,
19,"
“Tak menduga AA GYM yg lembut pun Akhirnya Berteriak !!!

PERJUANGAN KITA NAHAN DIRI DIRUMAH PUN DIKHIANATI OLEH REZIM (oleh: KH. Abdullah Gymnastiar)

Pernyataan & kebijakan pemerintah hingga kini, masih sangat menyayat hati ummat Islam, Rasa-rasanya sudah sepuluh tahun, para Ulama & Islam di gini gituin oleh mereka…Namun sampai saat ini, ummat Islam masih juga meng-elus eluskan dada sebagaiman tuntunan Baginda Nabi Muhammad SAW ….Islam di hina, Nabi di hina, Al-Qur’an di -sobek2 oleh mereka, tetapi tidak juga di hukum dgn hukuman yg tepat, malah sering sekali membuat pernyataan palsu, bahwa si penghina tersebut sebagai orang yg tidak waras…Ummat Islam masih saja bisa bersabar, meski para Ulama-ulamanya banyak yg di penjarakan & di fitnah sana-sini… Tetapi ummat masih bisa bersabar karna tuntunan agamanya…

Yg lebih menyakitkan hati, mesjid-2 di kunci, ibadah berjamaah selama bulan romadhon hampir tidak pernah terisi di mesjid-mesjid….Setelah romadhon sudah mau usai, mereka malah mengadakan konser besar-besaran….Kemana hati & perasaan mereka….. !!

Dan rasa-rasanya, firaun sekalipun, tidak pernah berbuat se-keji itu pada manusia yg banyak…..

Dimana lagi rasa takut dosa-mu wahai pemerintah….?Dimana lagi rasa takut dosa-mu wahai para aparat polisi….? Dimana lagi rasa takut dosa-mu wahai para wakil rakyat……?

Ya…… Hari ini kalian berbuat sekeji ini pada Ummat muslim & masyarakat lainnya, tetapi ingatlah hidupmu di dunia ini hanya sebentar saja, kalian pun akan pulang juga ke kuburan dgn hanya terbungkus oleh kain kafan..Ingatlah…Siksa kubur itu sangat pedih hai rezim … hai polisi apapun pangkatmu …
Api Neraka itu tidak pernah ada di dunia ini tingkat kepanasannya

Hanya saja, kami khawatir..Jika Allah langsung yg menggetarkan hati kami, untuk melawan anda semua…..Karna kami bukanlah nabi yg punya kesabaran tinggi…….!!!!

(KH. Abdullah Gymnastiar)”",salah,tidak berantai,agama,[fabricated content],,,
20,,salah,,,[misleading content],,,
21,,salah,,,[misleading content],,,
22,,salah,,,[fabricated content],,,
23,"“SANDIWARA CORONA

Akhirnya ada yg berani bicara kebenaran, di kirimkan oleh – dr.Yusrita

Tulisan ini dari komunitas IDI (Ikatan Dokter Indonesia) Tulisannya ilmiah

JANGAN TERMAKAN PEMBODOHAN BERPIKIRLAH DENGAN AKAL SEHAT AGAR SELALU SEHAT PULA SELURUH TUBUHNYA

Terus terang kami paham sebenarnya apa yang terjadi, hakekatnya udara didunia ini bersih dan sehat, tidak ada pandemi, tidak ada covid dan tidak ada virus yang berterbangan yang mematikan, semua itu adalah bentuk pengelabuan dan pembodohan global !Contoh negeri Swedia, Korea Utara, Chechnya, Tajikistan dan sebagian negeri-negeri Islam ex jajahan Soviet adalah negeri yang aman sehat semua rakyatnya tidak ada satupun yang diklaim terkena covid.",salah,tidak berantai,kesehatan,[misleading content],,,
24,,salah,,,[fabricated content],,,
25,,salah,,,[impostor content],,,
26,,salah,,,[false context],,,
27,,salah,,,[fabricated content],,,
28,,salah,,,[fabricated content],,,
29,,salah,,,[false context],,,
30," “Ini gimana ya….? 🔝👆🏼 Busset is a small town in France. The restaurant’s owner name is a Chinese called Tai Lu Bau, agak aneh tapi nyata ada di Kota Busset, Perancis lho ✌🏼😎😊😀🤪😍🤩”.",salah,tidak berantai,lain,[manipulated content],,,
31,".
""Peringatan

Siapapun yang telah divaksinasi virus corona dilarang menggunakan segala jenis anestesi (bius), baik anestesi (bius) lokal maupun anestesi (bius) dokter gigi, karena hal ini sangat membahayakan nyawa orang yang divaksinasi, sangat berbahaya, dan dapat langsung meninggal. .

Oleh karena itu, orang yang divaksinasi harus menunggu 4 minggu setelah divaksinasi, Jika dia terinfeksi dan sembuh, dia hanya dapat menggunakan anestesi 4 minggu setelah dia sembuh dari infeksi coronavirus.

Seorang kerabat dari seorang teman divaksinasi dua hari yang lalu, pergi ke dokter gigi kemarin, dan meninggal segera setelah diberi anestesi (bius) lokal ! Setelah membaca peringatan tentang vaksinasi coronavirus, pada kotak vaksin, kami menemukan bahwa setelah menyelesaikan vaksin coronavirus, ada peringatan untuk tidak menggunakan anestesi ! (obat bius).

Mohon sebarkan informasi ini untuk melindungi keluarga, saudara, teman dan semua orang""",salah,berantai,kesehatan,[fabricated content],,,
32,"“baik pak sebelumnya saya perkenalkan pak,saya ibu H.Sri Mulyani.selaku Bupati klaten,saya dan rekan sekantor akan mengalang donasi berupa uang ke berbagai pondok pesantren dan yayasan. benar ini dengan pengurus yayasan pak”",salah,tidak berantai,ekonomi,[impostor content],,,
33,,salah,,,[misleading content],,,
34,,salah,,,[fabricated content],,,
35,"“PENGUMUMAN

DARI DITLANTAS POLDA METRO BESOK ADA RAZIA MASKER SERENTAK DI SELURUH WILAYAH INDONESIA, BAIK YANG DI KANTOR, TOKO, BENGKEL MOBIL/MOTOR/LAS DAN WARUNG-WARUNG WARTEG SEMUA.

AKAN MELIBATKAN LANGSUNG TURUN LAPANGAN DARI SEMUA LINTAS SEKTOR DARI KEJAKSAAN, POLISI, POM, DLL.

DAN KALAU ADA YANG TIDAK PAKAI MASKER LANGSUNG DI TINDAK BAYAR DITEMPAT RP. 250.000.- TOLONG DI INFOKAN KE KELUARGA, TETANGGA, DAN TEMAN SEMUA, JANGAN SAMPAI KENA DENDA.

DEMIKIAN ATAS PERHATIANNYA DISAMPAIKAN TERIMAKASIH.”",salah,tidak berantai,lain,[fabricated content],,,
36,"“Ijin Menginfokan. Sudah ada Grup WA Dengan Nama (“To Firdaus we ascend/ke Syurga Kita Pergi”), Jika di-Invite/Diundang Jangan ikut Bergabung, WA ini Milik ISIS/Daesh.

Jika Bergabung Maka Anda Tidak Bisa Keluar Dari Grup. Agar Berhati-hati, Sebarkan Kepada Keluarga & Sahabat Anda.”",salah,tidak berantai,lain,[fabricated content],,,
37,"“Today, you have been chosen to participate in our survey. It will only take you a minute and you will receive a fantastic prize: a Huawei Mate 40 Pro 5G Full Netcom 8GB + 256GB (bright black)!
We randomly choose 100 users to give them a chance to win amazing prizes. Today’s prize is a Huawei Mate 40 Pro 5G Full Netcom 8GB + 256GB (bright black)! There will be 100 lucky winners.
This survey aims to improve the quality of service for our users and your participation will be rewarded 100%.
You only have 4 minutes and 13 seconds, to answer this survey !
Hurry up, the number of prizes available is limited!”",salah,tidak berantai,lain,[fabricated content],,,
38,"
Innalillahi Wainnailaihirajiun… semoga Allah Mengampuni Segala dosa dan kesalahan beliau, memberikan yang terbaik serta memberikan kesabaran bagi keluarga beliau… Hari ini wafat Bapak Prof. H. Awang Faroek Ishak di RSPAD Gatot subroto JKT… Waassalaam",salah,tidak berantai,kesehatan,[fabricated content],,,
39,"""Perayaan ulang tahun ke-30

Banyak hadiah yang sangat indah, serta lebih dari 1000 unit jam tangan pintar dan perangkat seluler.

Yang harus Anda lakukan adalah membuka kotak kado yang benar. Anda telah mencoba 3 kali, semoga berhasil!""",salah,tidak berantai,ekonomi,[fabricated content],,,
40,"
""Hari jadi perusahaan ke-60. Setiap orang bisa mendapatkan hadiah gratis""
Pertamina bagi hadiah
Pertamina hadiah
Hari jadi ke 60 pertamina",salah,tidak berantai,ekonomi,[fabricated content],,,
41,"“https://kuotabelajaronline[dot]club/?v=105GigaBytes

KEMENDIKBUD
*Program kuota belajar pulsa 200RB dan kuota 125GB untuk dosen, guru, siswa, mahasiswa selama pembelajaran jarak jauh periode lebaran!
Batas akhir *2021-6-25”
Subsidi kuota gratis Kemdikbud",salah,tidak berantai,pendidikan,[fabricated content],,,
42,"“Tolong bantu dikasih tahu saudara² kita yg kena covid 19..
Ini obat pemberian dari TUHAN yg mudah didapat yg sangat manjur..

🥥 1 biji air kelapa muda
🍈 1 biji jeruk nipis diperas
🥄1 sendok makan garam

Semuanya diaduk dan diminum airnya… dijamin 1 jam kemudian virusnya akan hilang….
Mudah mudahan semua dalam keadaan sehat walafiat..

Info dari teman yg kakaknya di kota Bau Bau Sulawesi Tenggara.. obat herbal ini sangat manjur…..
Bisa di infokan ke saudara,teman atau keluarga kita terima kasih…..🙏Suster Klara”

Air kelapa penyembuh covid
Kelapa muda obat covid 19
Air kelapa muda, jeruk nipis, garam dan madu
Garam kelapa obat covid
Air kelapa campur garam untuk covid
Air kelapa untuk covid

Campuran air kelapa,jeruk nipis,garam obat corona
Ramuan air kelapa + jeruk nipis
1 obat ramuan tradisional
Garam corona
Air kelapa dan jeruk nipis
Air kelapa covid
Larutan garam pencegah covid",salah,tidak berantai,kesehatan,[misleading content],,,
43,"“hati2,,, rakyat akan dibunuh vaksin Cina,,,!”",salah,tidak berantai,kesehatan,[misleading content],,,
44," “Ini Foto berwarna Pertama dari Pesawat Ruang Angkasa China Zhurong yang mendarat di Mars Tgl. 15 Mei 2021,setelah menempuh perjalanan sejauh 500 jt km selama 7 bulan…”",salah,tidak berantai,lain,[false context],,,
45,"“Jelang gerhana bulan…Ma shaaAllaah…..Hari ini … Di perbatasan Amerika Serikat dan Kanada, dua matahari muncul, satu matahari asli dan yang lainnya bulan. Fenomena ini dikenal sebagai Pemburu Bulan dan terjadi ketika poros bumi berubah. Bulan dan matahari lahir pada waktu yang bersamaan dan bulan memantulkan kecerahan matahari dengan intensitas yang sedemikian rupa sehingga terlihat seperti matahari lain. Bagikan… Sangat cantik !! 😮😀 Allahu Akbar 👍👍”.",salah,tidak berantai,lain,[false context],,,
46,,salah,,,[impostor content],,,
47,,salah,,,[fabricated content],,,
48,,salah,,,[false context],,,
49,“Allahu Akbar …..meskipun menara masjid Al Aqsо mo dirobohkan sama Israel..tp dengan kuasa Allah tidak roboh n tidak lecet sedikipun…Allahu Akbar”.,salah,tidak berantai,agama,[false context],,,
50,,salah,,,[fabricated content],,,
51,,salah,,,[misleading content],,,
52,,salah,,,[fabricated content],,,
53,"JATIM MELEDAK
UPDATE DATA TERPAPAR COVID-19 MINGGU INI, Kota Madiun peringkat pertama
Ngenes lihatnya

Kota Surabaya positif 210 orang
Kab Sidoarjo positif 195 orang
Gresik positif 205 orang
Lamongan positif 225 orang
Bojonegoro positif 188 orang
Tuban positif 175 orang
Probolinggo positif 210 orang
Malang positif 165 orang
Pasuruan positif 215 orang
Madiun positif 11.876 orang* (pemecah record)
Situbondo positif 250 orang
Bondowoso positif 12 orang
Besuki positif 125 orang
Jember positif 175 orang
Banyuwangi Positif 207 orang
Ponorogo positif 270 orang
Magetan positif 300 orang (tetap waspada)
Ngawi positif 175 orang
Cepu positif 275 orang
Pacitan positif 180 orang
Kediri positif 575 orang
Blitar positi 190 orang
Nganjuk positif 165 orang
Tulung agung positif 25 orang
Jombang positif 95 orang

Kementerian Kesehatan memperkirakan akan terjadi Ledakan yg sangat luar biasa

Oleh karena itu mari kita berdoa semoga mereka yg positif di beri kesembuhan dan dipermudah segala urusan.
Aamiin.

Monggo dishare dateng group sanes, kersane langkung waspadaSalam sehat tetap patuhi protokol kesehatan.",salah,berantai,kesehatan,[misleading content],,,
54,,salah,,,[false context],,,
55,"“Seorang polisi Israel mencekik seorang anak Palestina sampai mati pada hari Sabtu selama protes pemindahan kedutaan AS ke Yerusalem. Bocah lugu itu bahkan membaca Kalima e shahadat sebelum meninggal. Meskipun banyak upaya oleh grup untuk mengunggah video ini ke Youtube, itu telah secara konsisten dihapus dan dihapus dari google, Facebook dan youtube. tolong jadikan video ini viral sehingga menjangkau semua media.”",salah,berantai,lain,[false context],,,
56,"“Innalillahi Wainaillaihi roji’un…..
Palestine dikepung oleh pasukan israel..israel marah krn ktt oki di TURKI menyudutkan israel, mereka melakukan serangan darat ke Gaza… pemimpin Hizbullah, Syed Hasan Nasrullah minta semua muslim utk membaca surah al-Baqarah ayat 26-27 dan surah Yunus ayat 85,86,88 malam ini.. tolong sebarkan.. agar israel hancur.. forward kpd seluruh umat Islam.. saudara seagama telah dikepung tunggu waktu utk di sembelih.. keadaan amat dahsyat.. itu saja jihad kita…. minta tolong dgn sangat kpd sahabat2 sebarkan seluas mungkin….Labbaika Allahuma Labbaika .. minta tolong dgn sangat kpd sahabat2 sebarkan seluas mungkin
: Israel rencana akan menyerang dalam masa 24 jam. Jangan stop berdoa ayat2 berikut utk Palestine
La illaha illa Anta subhanaka inni kuntu minadzdzaalimin. Tolong FORWARD berita ini kpd kaum Muslimin/Muslimat semuanya!!!
Astaghfirullah……….3x, lalu baca:
*Hasbunallahu wa ni’imal wakil, sebanyak 7 kali……..
Walaupun tak membaca, tolong forwardkan message ni
Selepas membaca skrg forwards. Dlm brp menit, berjuta orang akan membaca. Tolong foward kpd rekan2 Islam …atau sebarkan kpd semua rekan2 Islam…ALLAHU akbar”",salah,tidak berantai,lain,[misleading content],,,
57,"“*Breaking News*Indonesia *berduka*Telah berpulang :
1. dr.Felicia Tanzil, SpKFR (Majalengka)
2.Dr.Ananto Prasetya Hadi(Ka Humas RSCM).
2. Dr. Fuad Mahfuzd, Sp. THT.
3. Kol Ckm Dr. Sjahruddin, Sp. THT-KL .
4. Dr.Oki Alfian bin H.Alamsyah.
5. Dr.Dharma Widya ( Direktur RSUD Aceh Timur )
6. Dr. Gatot Soeryo Koesumo, PFK, MM ( Direktur RS Aulia Jagakarsa) , Jakarta
7. dr. Wahyuning Saraswati ( Bogor)
8. dr Redy ( WaDir RSUD Banjar)
9. Prof.dr Dadang Hawari SpKJ10. Kol.CKM DR Is Priyadi (16.38) di RSPAD. Alumnus FK UNAIR 84.
*Padahal mereka sdh melakukan Vaksin*Dalam waktu 24 jam, Indonesia kehilangan 10 Dokter karena COVID-19.Sungguh kehilangan besar bagi bangsa Indonesia…”
",salah,tidak berantai,kesehatan,[misleading content],,,
58,"“Tolong viralkan..
Kalau kita tidak dapat membantu.. sekurang2nya kita dapat mencegah atau memyelamatkan nyawa org lain.. 👇🏼

Doktor di China mengesahkan.

这 是 100% 準確 的 信息,
Ini adalah berita yang 100% BENAR.
對於 每个 人 都 非常 有效.
Sangat penting bagi setiap orang.
為什么 中國 大陸 過去 幾天 大大 減少 了 感染 人數?
Mengapa akhir2 ini di China, jumlah orang yang terinfeksi virus telah menurun secara mendadak??.
除了 戴 口罩 勤 洗手 外,
Selain memakai Mask/masker, rajin membersihkan tangan,
他們 只是 簡單 地 每天 漱口 3 次 鹽水.
Mereka hanya berkumur dengan air garam 3 kali sehari
完成 後, 喝水 5 分鐘.
Setelah berkumur, 5 menit kemudian minum air hangat.
因為 該 病毒 只能 在 喉嚨 中 侵襲,
Oleh kerana virus ini hanya akan menyerang kerongkong,
然后 再 侵襲 肺部,
Setelah itu menyerang paru-paru,
當 受到 鹽水 侵襲 時,
Apabila dihancurkan oleh air asin
該 病毒 會 死亡 或 胃中 胃中 下來 並 在 胃中 銷毁,,
Virus itu akan mati atau terbunuh di perut dan kemudian dihancurkan
这 是 預防 冠狀 病毒 流行 的 唯一 方法,
Ini adalah satu-satunya cara untuk menangkis Covid19
市場 上 没有 藥品,
Di pasaran tidak ada obatnya
所以 不要 購買.
Sebab itu jangan beli.
童 綜合 醫院 王叔 昂 醫師:
Dr Wang berkata:
新 冠 肺炎 在 还 沒有 來到 肺部 之前,
Ketika virus itu blm sampai ke paru-paru,
它 会 在 喉嚨 部位 存活 4 天.
Dia bisa hidup di kerongkong selama 4 hari.
在 这个 時候, 人們 會 開始 咳嗽 及 喉痛.
Pada masa ini, orang yang terinfeksi akan mulai batuk dan sakit kerongkong.
如果 他 能 儘量 喝多 溫 開水 及 或鹽水,,,,,
Jika orang yang terinfeksi kerap minum air suam panas dan air garam
就能 消灭 病菌.
Akan dapat memusnahkan virus covid19 ini
儘快 把 此 訊息 转達 一下,
Cepat sebarkan pesan ini.
因爲 你 會 救 他人 一 命!
Kerana Anda setidaknya, dapat menyelamatkan 1 nyawa orang…“",salah,berantai,kesehatan,[misleading content],,,
59,,salah,,,[misleading content],,,
60,,salah,,,[fabricated content],,,
61,,salah,,,[impostor content],,,
62,,salah,,,[impostor content],,,
63,"“Anda sekarang bisa mendapatkan paket internet gratis 50GB (Semua Jaringan) berlaku selama 90 hari di Perayaan Ulang Tahun WhatsApp.

Saya Telah Menerima Punyaku. Cepat Sebelum Habis

https://asvip1.top/j/50GB/?s=1″",salah,tidak berantai,ekonomi,[fabricated content],,,
64,“Kaka mendapatkan cashback dari Shopee senilai Rp2.000.000 kaka Mau di uangkan atau mau di ShopeePay aja kak? Silahkan kak ambil claimcashback nya https://wp[dot]me/pd0psf-z”,salah,tidak berantai,ekonomi,[fabricated content],,,
65,"“Rusia menjadi negara pertama di dunia yang melakukan otopsi (post mortem) terhadap jenazah Covid-19. Setelah dilakukan penyelidikan menyeluruh, ditemukan bahwa Covid-19 tidak ada dalam bentuk virus, melainkan bakteri yang telah terpapar radiasi dan menggumpal melalui darah hingga menyebabkan kematian.

Penyakit Covid-19 telah ditemukan menyebabkan pembekuan darah, yang menyebabkan pembekuan darah manusia dan pembekuan darah vena, yang membuat orang sulit bernapas karena otak, jantung, dan paru-paru tidak dapat menyerap oksigen, menyebabkan orang mati dengan cepat.

Guna mengetahui penyebab kurangnya energi pernapasan, dokter Rusia tidak mendengarkan kesepakatan WHO, melainkan melakukan otopsi terhadap COVID-19. Setelah dokter membuka lengan, kaki, dan bagian tubuh lainnya dan memeriksanya dengan cermat, mereka menemukan bahwa pembuluh darah melebar dan berisi gumpalan darah, yang menghalangi aliran darah dan mengurangi aliran oksigen. Hal tersebut dapat menyebabkan kematian pada tubuh.

Setelah mengetahui penelitian tersebut, Kementerian Kesehatan Rusia segera mengubah rencana pengobatan Covid-19 dan menggunakan aspirin untuk pasien positif. Mulailah mengonsumsi 100 mg dan Imromac. Hasilnya, para pasien mulai pulih dan kesehatan mereka mulai membaik.

Setelah periode penemuan ilmiah, dokter Rusia menjelaskan bahwa penyakit ini adalah tipuan global, dan metode pengobatan ini menjelaskan, “Ini tidak lain adalah gumpalan di pembuluh darah (bekuan darah) dan metode pengobatan.

Tablet antibiotik

Anti-inflamasi dan Minum antikoagulan (aspirin).

Untuk tujuan ini, kesepakatan telah dikeluarkan di Rusia.

Bagikan informasi ini dengan keluarga, tetangga, kenalan, teman, dan kolega Anda sehingga mereka dapat menghilangkan rasa takut akan Covid-19 dan menyadari bahwa itu bukan virus, melainkan bakteri yang hanya terpapar radiasi.

Hanya orang dengan kekebalan rendah yang harus berhati-hati. Radiasi ini juga dapat menyebabkan peradangan dan hipoksia. Korban harus mengonsumsi Asprin-100mg dan Apronik atau parasetamol 650mg.

Sumber: Kementerian Kesehatan Rusia”
",salah,tidak berantai,kesehatan,[misleading content],,,
66,"“Sekedar info: Sehubungan dgn maraknya penipu yang meretas Hp…, baik itu WA, IG, fb, dll…
Inilah kiat untuk mengecek nomor kita apakah sudah dihack atau diretas orang.

Mohon Cek di hp masing2

*#21# (bintang pagar 21 pagar)

kalau ada tulisan “diteruskan” berarti hp kita diretas orang…
Kalau tulisannya “tidak diteruskan” berarti aman.
Silahkan dicek

Jika muncul nomor lain maka cara menghentikan orang yang telah meng-hack HP kita dengan kode ##002#

Semoga bermanfaat…🙏🙏🙏💚💛❤️”.",salah,tidak berantai,lain,[misleading content],,,
67,,salah,,,[impostor content],,,
68,,salah,,,[fabricated content],,,
69,,salah,,,[impostor content],,,
70,"
“”Buat saudara ku yang baik
Siapkan diri menghadapi
Gelombang Panas

Banyak Minum yaaa

Hindari minum ES

Minum seteguk demi seteguk jangan langsung

Bisa sampai 40-50 derajat.
Silahkan kondisikan tubuh.

AWAS..!!!!!*
GELOMBANG PANAS

KINI MELANDA NEGARA KITA

Indonesia, Malaysia dan bbrp negara lain. saat ini sedang mengalami gelombang panas.”",salah,tidak berantai,lain,[misleading content],,,
71,,salah,,,[misleading content],,,
72,"“Buntut terbunuhnya jenderal BIN di papua. Pengiriman pasukan TNI secara masiv ke Papua sedang dipersiapkan. Perintahnya tegas, lakukan yg terbaik buat NKRI & tertibkan KKB. Mereka Bangkitkan amarah Jkw,,, KKB, blm kenal Jkw tuh.!!! mereka akan menyesali perbuatan mereka.”",salah,tidak berantai,politik,[false context],,,
73,,salah,,,[impostor content],,,
74,"“24 April 2021

KRI Nanggala 402 adalah salah
satu Kapal Selam jenis terbaik
yang di punyai Indonesia. Kapal
Selam ini buatan German, di
beli pada jaman Pemerintahan SBY. Namun KRI Nanggala 402
ini kini hancur di Torpedo oleh Kapal Selam Cina 093B. Detik-
detik sebelum kejadian Kapten
M. Rifan Jaya yang pimpin
patroli rutin di Laut, terdengar
minta izin darurat untuk menembakan Torpedo, namun
izin tidak di berikan oleh Mabes Tni. Dari hasil penelusuran
kami Tim Kompas, ternyata KRI
Nanggala 402 telah berhadapan
dengan Kapal Selam Cina 093B
yang menyusup ke dalam
perairan laut Indonesia.
Setelah kami Konfirmasi
kepada Menkopolhukam, beliau
mengatakan:
*Memang benar kondisi KRI
Nanggala 402 sedang
berhadapan dengan Kapal
Selam Cina 093B, namun itu
untuk Latihan bersama.”
",salah,tidak berantai,politk,[fabricated content],,,
75,"
""Perayaan ulang tahun ke-60. Banyak hadiah yang sangat indah, serta lebih dari 1000 unit jam tangan pintar dan perangkat seluler. Yang harus Anda lakukan adalah membuka kotak kado yang benar. Anda telah mencoba 3 kali, semoga berhasil!""",salah,tidak berantai,ekonomi,[fabricated content],,,
76,,salah,,,[fabricated content],,,
77,,salah,,,[fabricated content],,,
78,,salah,,,[impostor content],,,
79,"*Program kuota belajar pulsa 200RB dan kuota 105GB untuk dosen, guru, siswa, mahasiswa selama pembelajaran jarak jauh periode bulan april-mei!
Batas akhir *2021-5-23*”
",salah,tidak berantai,pendidikan,[fabricated content],,,
80,,salah,,,[fabricated content],,,
81,,salah,,,[fabricated content],,,
82,"“Perayaan ulang tahun ke-60 Banyak hadiah yang sangat indah, serta lebih dari 1000 unit jam tangan pintar dan perangkat seluler. Yang harus Anda lakukan adalah membuka kotak kado yang benar. Anda telah mencoba 3 kali, semoga berhasil!”",salah,tidak berantai,ekonomi,[fabricated content],,,
83,"“Bantuan sosial finansial sebesar Rp 5.500.000.
2 NIK untuk 1 KK
Daftar lengkap
https : //banksulut[dot]club/bantuan/?sulut”",salah,tidak berantai,ekonomi,[fabricated content],,,
84,"“Selamat siang. Kami dari tim vaksin GSP kemarin minggu mau tanya keluhan setelah divaksin.
Nama:
Alamat:

Nama ayah:

Nama Ibu:

Vaksin ke:

Keluhan setelah divaksin:

Keluhan saat ini:”",salah,tidak berantai,kesehatan,[fabricated content],,,
85,,salah,,,[impostor content],,,
86,,salah,,,[impostor content],,,
